Timestamp,Traded Instrument,Traded Side,Traded Price,Traded Volume
11:43:08,SP-FUTURE,ASK,2912.0,36
11:43:08,ESX-FUTURE,ASK,3358.75,970
11:43:09,ESX-FUTURE,ASK,3358.75,560
11:43:09,SP-FUTURE,ASK,2912.75,279
11:43:10,SP-FUTURE,ASK,2912.75,154
11:43:10,ESX-FUTURE,BID,3358.75,1034
11:43:11,ESX-FUTURE,BID,3358.75,753
11:43:11,SP-FUTURE,BID,2912.25,38
11:43:12,SP-FUTURE,ASK,2912.5,7
11:43:13,ESX-FUTURE,BID,3358.75,861
11:43:14,SP-FUTURE,BID,2912.0,256
11:43:14,ESX-FUTURE,BID,3358.75,496
11:43:15,ESX-FUTURE,BID,3358.75,236
11:43:15,SP-FUTURE,BID,2911.75,306
11:43:16,SP-FUTURE,BID,2911.75,291
11:43:16,ESX-FUTURE,BID,3358.25,446
11:43:16,SP-FUTURE,BID,2911.5,296
11:43:17,ESX-FUTURE,ASK,3358.25,3
11:43:17,SP-FUTURE,BID,2911.5,444
11:43:17,ESX-FUTURE,BID,3358.0,33
11:43:18,SP-FUTURE,BID,2911.5,1006
11:43:19,ESX-FUTURE,ASK,3356.5,1110
11:43:19,SP-FUTURE,BID,2912.25,58
11:43:20,ESX-FUTURE,BID,3356.25,546
11:43:20,SP-FUTURE,BID,2912.25,148
11:43:20,SP-FUTURE,BID,2912.25,1
11:43:21,ESX-FUTURE,BID,3356.25,438
11:43:21,ESX-FUTURE,BID,3356.25,600
11:43:22,SP-FUTURE,BID,2911.75,181
11:43:22,ESX-FUTURE,BID,3356.0,1166
11:43:22,ESX-FUTURE,ASK,3356.25,3
11:43:23,SP-FUTURE,BID,2911.5,45
11:43:23,ESX-FUTURE,ASK,3356.25,506
11:43:24,SP-FUTURE,ASK,2911.75,3
11:43:24,ESX-FUTURE,ASK,3356.25,492
11:43:25,SP-FUTURE,ASK,2912.0,46
11:43:25,ESX-FUTURE,BID,3356.0,607
11:43:26,SP-FUTURE,ASK,2912.0,108
11:43:26,ESX-FUTURE,ASK,3356.25,199
11:43:27,SP-FUTURE,ASK,2912.0,290
11:43:27,ESX-FUTURE,BID,3356.25,2093
11:43:28,SP-FUTURE,BID,2910.75,876
11:43:28,ESX-FUTURE,BID,3355.25,982
11:43:29,SP-FUTURE,ASK,2910.75,222
11:43:30,ESX-FUTURE,BID,3355.25,2370
11:43:30,ESX-FUTURE,BID,3355.25,1041
11:43:31,SP-FUTURE,ASK,2910.75,503
11:43:32,ESX-FUTURE,ASK,3356.0,848
11:43:32,SP-FUTURE,BID,2910.5,782
11:43:33,ESX-FUTURE,BID,3355.0,201
11:43:33,SP-FUTURE,BID,2910.5,604
11:43:33,ESX-FUTURE,BID,3354.25,430
11:43:34,ESX-FUTURE,ASK,3354.5,160
11:43:34,SP-FUTURE,ASK,2910.5,17
11:43:35,ESX-FUTURE,ASK,3354.5,643
11:43:36,SP-FUTURE,BID,2910.5,215
11:43:36,SP-FUTURE,BID,2910.5,253
11:43:37,ESX-FUTURE,ASK,3354.5,424
11:43:37,SP-FUTURE,BID,2910.5,668
11:43:38,ESX-FUTURE,ASK,3354.0,171
11:43:38,SP-FUTURE,ASK,2910.75,4
11:43:39,ESX-FUTURE,ASK,3354.0,234
11:43:39,SP-FUTURE,ASK,2911.0,549
11:43:40,ESX-FUTURE,ASK,3354.5,633
11:43:40,SP-FUTURE,BID,2910.75,292
11:43:41,ESX-FUTURE,BID,3354.0,358
11:43:41,SP-FUTURE,ASK,2910.75,368
11:43:42,ESX-FUTURE,ASK,3354.5,1067
11:43:43,SP-FUTURE,BID,2911.25,251
11:43:43,SP-FUTURE,BID,2911.25,221
